               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.037594,             0.01175,              0.0154,             0.65876,             0.65238,             0.68302,             0.49642,            0.030895,           0.0060852,            0.024244,            0.008086,            0.008086,            0.008086
                  60,            0.035406,             0.01502,            0.016221,             0.53213,             0.78378,             0.70111,              0.4189,            0.034233,           0.0060166,            0.025326,            0.008053,            0.008053,            0.008053
                  61,            0.037173,            0.013265,            0.017978,             0.66692,             0.70811,             0.76141,             0.46261,            0.034073,           0.0057526,            0.031984,             0.00802,             0.00802,             0.00802
                  62,            0.031914,            0.014851,            0.016593,             0.52311,             0.89392,             0.76421,             0.58739,            0.033646,           0.0056776,            0.030485,            0.007987,            0.007987,            0.007987
                  63,             0.03841,            0.011246,            0.017187,             0.45795,             0.82814,             0.71412,              0.3692,            0.035593,           0.0059461,            0.030693,            0.007954,            0.007954,            0.007954
                  64,            0.037396,             0.01231,            0.015222,             0.46544,             0.82803,             0.74154,             0.50498,            0.037619,           0.0060156,            0.027681,            0.007921,            0.007921,            0.007921
                  65,            0.038105,            0.013099,            0.015013,             0.73772,             0.59161,             0.71852,             0.42108,            0.038214,           0.0060921,            0.025652,            0.007888,            0.007888,            0.007888
                  66,             0.03188,            0.010684,            0.014661,              0.5141,             0.81801,             0.69923,             0.43558,            0.039628,           0.0059662,            0.025157,            0.007855,            0.007855,            0.007855
                  67,            0.036713,            0.013229,            0.015617,             0.55603,             0.77922,             0.69386,             0.48781,            0.036988,           0.0059477,            0.025096,            0.007822,            0.007822,            0.007822
                  68,            0.033827,            0.012261,            0.012936,             0.54785,             0.85176,             0.71819,             0.48208,            0.035188,           0.0058222,             0.02491,            0.007789,            0.007789,            0.007789
                  69,            0.030577,            0.012011,            0.013267,             0.58753,             0.77949,             0.74736,             0.47459,            0.032833,           0.0056988,            0.026515,            0.007756,            0.007756,            0.007756
                  70,            0.034361,            0.012986,            0.013701,             0.60064,             0.71756,             0.73887,             0.52846,            0.036021,           0.0055059,            0.027129,            0.007723,            0.007723,            0.007723
                  71,            0.041576,             0.01148,            0.013674,             0.55014,             0.81051,               0.712,             0.47025,             0.03661,           0.0055206,            0.023025,             0.00769,             0.00769,             0.00769
                  72,            0.035183,            0.012294,            0.012621,             0.57712,             0.72273,              0.7178,             0.50445,            0.037724,           0.0057773,            0.020501,            0.007657,            0.007657,            0.007657
                  73,            0.031365,             0.01288,            0.011567,             0.59844,             0.85586,             0.72198,             0.46739,            0.036084,           0.0059436,             0.01942,            0.007624,            0.007624,            0.007624
